Time,Sum Signals
0.0,23.744597918961162
0.001,23.508816547662526
0.002,23.196974788243804
0.003,22.810115194238076
0.004,22.349534624015817
0.005,21.816779703423983
0.006,21.21364140671998
0.007,20.54214877545729
0.008,19.804561798123306
0.009000000000000001,19.003363476388838
0.01,18.14125110679064
0.011,17.22112680952405
0.012,16.24608733875875
0.013000000000000001,15.21941321149992
0.014,14.144557194486925
0.015,13.025132190945053
0.016,11.864898571173317
0.017,10.667750992954613
0.018000000000000002,9.437704759606383
0.019,8.17888176514402
0.02,6.895496077499105
0.021,5.591839212014566
0.022,4.272265148524344
0.023,2.941175146213284
0.024,1.6030024111387604
0.025,0.26219667177797934
0.026000000000000002,-1.0767912817582554
0.027,-2.40952503913411
0.028,-3.7315979362443885
0.029,-5.038648291483893
0.03,-6.326374457143122
0.031,-7.590549631991147
0.032,-8.827036382053887
0.033,-10.031800817738144
0.034,-11.200926376785796
0.035,-12.330627164061273
0.036000000000000004,-13.41726080087393
0.037,-14.457340738409483
0.038,-15.4475479918822
0.039,-16.38474225421514
0.04,-17.265972350402336
0.041,-18.088485996191867
0.042,-18.84973882734674
0.043000000000000003,-19.54740266847918
0.044,-20.179373013302417
0.045,-20.743775691093738
0.046,-21.23897269719928
0.047,-21.663567168526512
0.048,-22.016407488149376
0.049,-22.29659050638437
0.05,-22.503463868969487
0.051000000000000004,-22.63662744628046
0.052000000000000005,-22.695933860836952
0.053,-22.681488113673385
0.054,-22.59364631346208
0.055,-22.4330135155677
0.056,-22.200440681469995
0.057,-21.89702077220327
0.058,-21.524083992614926
0.059000000000000004,-21.08319220632896
0.06,-20.576132544303338
0.061,-20.004910232779743
0.062,-19.371740669231407
0.063,-18.679040777607696
0.064,-17.929419676743763
0.065,-17.125668698240265
0.066,-16.270750792412247
0.067,-15.367789363051502
0.068,-14.420056573731582
0.069,-13.430961170206853
0.07,-12.404035865105119
0.07100000000000001,-11.342924332585318
0.07200000000000001,-10.25136786192029
0.073,-9.133191720066241
0.074,-7.992291274190647
0.075,-6.832617925847326
0.076,-5.658164909007301
0.077,-4.472953004476622
0.078,-3.281016223357131
0.079,-2.086387512130732
0.08,-0.8930845316773182
0.081,0.2949044379328081
0.082,1.473634415692037
0.083,2.639217410626605
0.084,3.787835836198207
0.085,4.915755600070194
0.08600000000000001,6.019338822571633
0.08700000000000001,7.095056138763761
0.088,8.139498540749377
0.089,9.149388718759576
0.09,10.121591861596224
0.091,11.053125879196154
0.092,11.941171012401542
0.093,12.783078797465585
0.094,13.576380355380536
0.095,14.318793978777737
0.096,15.00823199190558
0.097,15.64280686202999
0.098,16.220836543513762
0.099,16.74084903880164
0.1,17.201586163558247
0.101,17.602006506263756
0.10200000000000001,17.941287575653774
0.10300000000000001,18.21882713248618
0.10400000000000001,18.434243705214598
0.105,18.587376292234424
0.106,18.67828325643213
0.107,18.707240420797334
0.108,18.674738376843113
0.109,18.58147902050562
0.11,18.428371333054454
0.111,18.21652642732476
0.112,17.94725188227308
0.113,17.622045391450374
0.114,17.24258775346736
0.115,16.81073523489171
0.116,16.328511338252408
0.117,15.798098009928662
0.11800000000000001,15.221826324658121
0.11900000000000001,14.602166685207964
0.12,13.941718577403364
